"sales_id","order_id","customer_id","customer_name","age","gender","city","state","product_id","product_name","product_type","size","colour","stok","harga_produk","harga_jual","quantity","total_price","order_date","delivery_date","delivery_time"
0,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",218,"Chambray","Shirt","L","orange",44,105.0,106.0,2,212.0,"2021-08-30","2021-09-24",25
1,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",481,"Puffer","Jacket","S","indigo",62,110.0,118.0,1,118.0,"2021-08-30","2021-09-24",25
2,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",2,"Oxford Cloth","Shirt","M","red",54,114.0,96.0,3,288.0,"2021-08-30","2021-09-24",25
3,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",1002,"Wool","Trousers","M","blue",52,111.0,106.0,2,212.0,"2021-08-30","2021-09-24",25
4,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",691,"Parka","Jacket","S","indigo",53,119.0,113.0,3,339.0,"2021-08-30","2021-09-24",25
5,1,64,"Annabella Devote",75,"Genderfluid","Sanfordborough","South Australia",981,"Wool","Trousers","S","red",65,111.0,106.0,3,318.0,"2021-08-30","2021-09-24",25
6,2,473,"Lori Briars",61,"Male","Annaton","South Australia",915,"Drawstring","Trousers","XS","orange",41,104.0,96.0,1,96.0,"2021-02-03","2021-02-13",10
7,2,473,"Lori Briars",61,"Male","Annaton","South Australia",686,"Parka","Jacket","S","blue",72,119.0,113.0,1,113.0,"2021-02-03","2021-02-13",10
8,2,473,"Lori Briars",61,"Male","Annaton","South Australia",1091,"Cropped","Trousers","S","orange",78,99.0,115.0,3,345.0,"2021-02-03","2021-02-13",10
9,2,473,"Lori Briars",61,"Male","Annaton","South Australia",1196,"Pleated","Trousers","S","orange",72,90.0,105.0,1,105.0,"2021-02-03","2021-02-13",10
10,2,473,"Lori Briars",61,"Male","Annaton","South Australia",157,"Linen","Shirt","M","green",42,116.0,91.0,3,273.0,"2021-02-03","2021-02-13",10
11,2,473,"Lori Briars",61,"Male","Annaton","South Australia",1174,"High-Waisted","Trousers","XL","green",78,98.0,99.0,2,198.0,"2021-02-03","2021-02-13",10
12,3,774,"Ellynn Korba",34,"Genderqueer","West Jonathanshire","Tasmania",54,"Dress","Shirt","XL","green",52,119.0,104.0,1,104.0,"2021-10-08","2021-11-03",26
13,3,774,"Ellynn Korba",34,"Genderqueer","West Jonathanshire","Tasmania",6,"Oxford Cloth","Shirt","S","orange",72,114.0,96.0,2,192.0,"2021-10-08","2021-11-03",26
14,3,774,"Ellynn Korba",34,"Genderqueer","West Jonathanshire","Tasmania",1010,"Wool","Trousers","XS","violet",80,111.0,106.0,2,212.0,"2021-10-08","2021-11-03",26
15,4,433,"Candis Roswarne",46,"Non-binary","West Michaelport","Tasmania",1033,"Relaxed Leg","Trousers","L","green",62,95.0,90.0,1,90.0,"2021-05-06","2021-05-19",13
16,4,433,"Candis Roswarne",46,"Non-binary","West Michaelport","Tasmania",1184,"High-Waisted","Trousers","XL","indigo",57,98.0,99.0,3,297.0,"2021-05-06","2021-05-19",13
17,4,433,"Candis Roswarne",46,"Non-binary","West Michaelport","Tasmania",769,"Peacoat","Jacket","XL","violet",42,102.0,109.0,1,109.0,"2021-05-06","2021-05-19",13
18,4,433,"Candis Roswarne",46,"Non-binary","West Michaelport","Tasmania",923,"Drawstring","Trousers","L","yellow",68,104.0,96.0,3,288.0,"2021-05-06","2021-05-19",13
19,4,433,"Candis Roswarne",46,"Non-binary","West Michaelport","Tasmania",12,"Oxford Cloth","Shirt","M","yellow",56,114.0,96.0,2,192.0,"2021-05-06","2021-05-19",13
20,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",148,"Linen","Shirt","L","orange",73,116.0,91.0,2,182.0,"2021-03-23","2021-03-24",1
21,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",475,"Puffer","Jacket","XS","blue",57,110.0,118.0,2,236.0,"2021-03-23","2021-03-24",1
22,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",1,"Oxford Cloth","Shirt","S","red",53,114.0,96.0,3,288.0,"2021-03-23","2021-03-24",1
23,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",830,"Shearling","Jacket","XS","indigo",68,95.0,117.0,3,351.0,"2021-03-23","2021-03-24",1
24,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",1209,"Pleated","Trousers","XL","green",55,90.0,105.0,3,315.0,"2021-03-23","2021-03-24",1
25,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",635,"Coach","Jacket","XS","orange",42,115.0,93.0,3,279.0,"2021-03-23","2021-03-24",1
26,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",639,"Coach","Jacket","XL","orange",46,115.0,93.0,3,279.0,"2021-03-23","2021-03-24",1
27,5,441,"Artemas Vasilischev",53,"Bigender","South Rileyview","Western Australia",695,"Parka","Jacket","XS","violet",59,119.0,113.0,1,113.0,"2021-03-23","2021-03-24",1
28,6,800,"Katusha Ceney",49,"Bigender","Daughertyport","Queensland",38,"Dress","Shirt","L","red",79,119.0,104.0,2,208.0,"2021-09-09","2021-10-05",26
29,6,800,"Katusha Ceney",49,"Bigender","Daughertyport","Queensland",473,"Puffer","Jacket","L","green",43,110.0,118.0,2,236.0,"2021-09-09","2021-10-05",26
30,6,800,"Katusha Ceney",49,"Bigender","Daughertyport","Queensland",242,"Chambray","Shirt","M","violet",72,105.0,106.0,1,106.0,"2021-09-09","2021-10-05",26
31,6,800,"Katusha Ceney",49,"Bigender","Daughertyport","Queensland",804,"Pullover","Jacket","XL","violet",69,114.0,91.0,2,182.0,"2021-09-09","2021-10-05",26
32,7,626,"Tann Scothron",64,"Genderqueer","Walterstad","New South Wales",850,"Chinos","Trousers","XS","yellow",41,100.0,113.0,2,226.0,"2021-04-05","2021-04-11",6
33,7,626,"Tann Scothron",64,"Genderqueer","Walterstad","New South Wales",1162,"High-Waisted","Trousers","M","orange",69,98.0,99.0,3,297.0,"2021-04-05","2021-04-11",6
34,8,58,"Aurie Margett",39,"Agender","Amelieburgh","New South Wales",765,"Peacoat","Jacket","XS","violet",54,102.0,109.0,1,109.0,"2021-04-12","2021-05-01",19
35,8,58,"Aurie Margett",39,"Agender","Amelieburgh","New South Wales",256,"Polo","Shirt","S","yellow",77,117.0,95.0,2,190.0,"2021-04-12","2021-05-01",19
36,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",203,"Camp Collared","Shirt","L","indigo",72,112.0,98.0,1,98.0,"2021-05-01","2021-05-11",10
37,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",486,"Puffer","Jacket","S","violet",46,110.0,118.0,2,236.0,"2021-05-01","2021-05-11",10
38,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",708,"Trench Coat","Jacket","L","orange",70,112.0,119.0,1,119.0,"2021-05-01","2021-05-11",10
39,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",1040,"Relaxed Leg","Trousers","XS","indigo",60,95.0,90.0,2,180.0,"2021-05-01","2021-05-11",10
40,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",917,"Drawstring","Trousers","M","orange",76,104.0,96.0,3,288.0,"2021-05-01","2021-05-11",10
41,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",1061,"Joggers","Trousers","S","yellow",76,94.0,93.0,2,186.0,"2021-05-01","2021-05-11",10
42,9,852,"Lucas Cromly",67,"Polygender","O'connertown","Tasmania",35,"Dress","Shirt","XS","red",63,119.0,104.0,2,208.0,"2021-05-01","2021-05-11",10
43,10,659,"Ira Dafforne",57,"Non-binary","Sophiemouth","Tasmania",325,"Mandarin Collar","Shirt","XS","yellow",45,108.0,109.0,3,327.0,"2021-10-15","2021-10-16",1
44,10,659,"Ira Dafforne",57,"Non-binary","Sophiemouth","Tasmania",860,"Chinos","Trousers","XS","blue",69,100.0,113.0,2,226.0,"2021-10-15","2021-10-16",1
45,10,659,"Ira Dafforne",57,"Non-binary","Sophiemouth","Tasmania",426,"Denim","Jacket","S","orange",51,92.0,107.0,3,321.0,"2021-10-15","2021-10-16",1
46,11,785,"Jillana Blankau",54,"Genderfluid","Port Adamburgh","Northern Territory",877,"Cords","Trousers","M","red",68,113.0,94.0,2,188.0,"2021-06-15","2021-06-30",15
47,11,785,"Jillana Blankau",54,"Genderfluid","Port Adamburgh","Northern Territory",780,"Pullover","Jacket","XS","yellow",65,114.0,91.0,3,273.0,"2021-06-15","2021-06-30",15
48,12,120,"Didi Garton",60,"Polygender","Carterbury","Queensland",782,"Pullover","Jacket","M","yellow",49,114.0,91.0,1,91.0,"2021-06-30","2021-07-11",11
49,12,120,"Didi Garton",60,"Polygender","Carterbury","Queensland",632,"Coach","Jacket","M","red",76,115.0,93.0,2,186.0,"2021-06-30","2021-07-11",11
50,12,120,"Didi Garton",60,"Polygender","Carterbury","Queensland",846,"Chinos","Trousers","S","orange",58,100.0,113.0,3,339.0,"2021-06-30","2021-07-11",11
51,12,120,"Didi Garton",60,"Polygender","Carterbury","Queensland",180,"Camp Collared","Shirt","XS","orange",52,112.0,98.0,1,98.0,"2021-06-30","2021-07-11",11
52,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",217,"Chambray","Shirt","M","orange",43,105.0,106.0,2,212.0,"2021-10-15","2021-10-31",16
53,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",95,"Flannel","Shirt","XS","indigo",46,96.0,118.0,3,354.0,"2021-10-15","2021-10-31",16
54,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",800,"Pullover","Jacket","XS","violet",61,114.0,91.0,2,182.0,"2021-10-15","2021-10-31",16
55,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",835,"Shearling","Jacket","XS","violet",75,95.0,117.0,1,117.0,"2021-10-15","2021-10-31",16
56,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",1249,"Tracksuit Bottoms","Trousers","XL","blue",68,91.0,112.0,2,224.0,"2021-10-15","2021-10-31",16
57,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",753,"Peacoat","Jacket","L","green",73,102.0,109.0,2,218.0,"2021-10-15","2021-10-31",16
58,13,204,"Bird McGarvie",60,"Female","East Jakeberg","New South Wales",114,"Denim","Shirt","XL","orange",67,115.0,92.0,3,276.0,"2021-10-15","2021-10-31",16
59,14,957,"Felic Marrian",75,"Male","Samanthaberg","South Australia",1202,"Pleated","Trousers","M","yellow",54,90.0,105.0,2,210.0,"2021-03-29","2021-04-12",14
60,14,957,"Felic Marrian",75,"Male","Samanthaberg","South Australia",227,"Chambray","Shirt","M","green",56,105.0,106.0,3,318.0,"2021-03-29","2021-04-12",14
61,14,957,"Felic Marrian",75,"Male","Samanthaberg","South Australia",108,"Denim","Shirt","L","red",52,115.0,92.0,2,184.0,"2021-03-29","2021-04-12",14
62,14,957,"Felic Marrian",75,"Male","Samanthaberg","South Australia",91,"Flannel","Shirt","S","blue",43,96.0,118.0,3,354.0,"2021-03-29","2021-04-12",14
63,14,957,"Felic Marrian",75,"Male","Samanthaberg","South Australia",909,"Cords","Trousers","XL","violet",73,113.0,94.0,2,188.0,"2021-03-29","2021-04-12",14
64,15,468,"Maegan Ashton",67,"Genderqueer","West Isla","Tasmania",699,"Parka","Jacket","XL","violet",80,119.0,113.0,3,339.0,"2021-09-22","2021-10-08",16
65,15,468,"Maegan Ashton",67,"Genderqueer","West Isla","Tasmania",1195,"Pleated","Trousers","XS","orange",74,90.0,105.0,3,315.0,"2021-09-22","2021-10-08",16
66,15,468,"Maegan Ashton",67,"Genderqueer","West Isla","Tasmania",291,"Cuban Collar","Shirt","S","yellow",41,93.0,105.0,2,210.0,"2021-09-22","2021-10-08",16
67,15,468,"Maegan Ashton",67,"Genderqueer","West Isla","Tasmania",972,"Slim-Fit","Trousers","M","indigo",67,119.0,97.0,3,291.0,"2021-09-22","2021-10-08",16
68,15,468,"Maegan Ashton",67,"Genderqueer","West Isla","Tasmania",1212,"Pleated","Trousers","M","blue",66,90.0,105.0,2,210.0,"2021-09-22","2021-10-08",16
69,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",7,"Oxford Cloth","Shirt","M","orange",77,114.0,96.0,3,288.0,"2021-07-07","2021-07-08",1
70,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",381,"Henley","Shirt","S","violet",43,92.0,94.0,3,282.0,"2021-07-07","2021-07-08",1
71,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",17,"Oxford Cloth","Shirt","M","green",60,114.0,96.0,2,192.0,"2021-07-07","2021-07-08",1
72,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",297,"Cuban Collar","Shirt","M","green",45,93.0,105.0,2,210.0,"2021-07-07","2021-07-08",1
73,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",28,"Oxford Cloth","Shirt","L","indigo",70,114.0,96.0,1,96.0,"2021-07-07","2021-07-08",1
74,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",934,"Drawstring","Trousers","XL","blue",60,104.0,96.0,1,96.0,"2021-07-07","2021-07-08",1
75,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",324,"Mandarin Collar","Shirt","XL","orange",59,108.0,109.0,3,327.0,"2021-07-07","2021-07-08",1
76,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",578,"Bomber","Jacket","L","green",78,90.0,100.0,2,200.0,"2021-07-07","2021-07-08",1
77,16,564,"Shoshana Redsell",34,"Bigender","North Marcusland","Northern Territory",273,"Polo","Shirt","L","indigo",60,117.0,95.0,1,95.0,"2021-07-07","2021-07-08",1
78,17,614,"Sherwynd Batsford",45,"Polygender","Samuelside","New South Wales",132,"Denim","Shirt","M","indigo",56,115.0,92.0,2,184.0,"2021-02-09","2021-02-11",2
79,17,614,"Sherwynd Batsford",45,"Polygender","Samuelside","New South Wales",791,"Pullover","Jacket","S","blue",73,114.0,91.0,2,182.0,"2021-02-09","2021-02-11",2
80,17,614,"Sherwynd Batsford",45,"Polygender","Samuelside","New South Wales",463,"Puffer","Jacket","L","orange",66,110.0,118.0,1,118.0,"2021-02-09","2021-02-11",2
81,17,614,"Sherwynd Batsford",45,"Polygender","Samuelside","New South Wales",1066,"Joggers","Trousers","S","green",76,94.0,93.0,2,186.0,"2021-02-09","2021-02-11",2
82,18,299,"Anny Midden",32,"Non-binary","Lake Amelia","Victoria",35,"Dress","Shirt","XS","red",63,119.0,104.0,1,104.0,"2021-01-01","2021-01-03",2
83,18,299,"Anny Midden",32,"Non-binary","Lake Amelia","Victoria",970,"Slim-Fit","Trousers","XS","indigo",74,119.0,97.0,3,291.0,"2021-01-01","2021-01-03",2
84,18,299,"Anny Midden",32,"Non-binary","Lake Amelia","Victoria",285,"Cuban Collar","Shirt","XS","orange",62,93.0,105.0,1,105.0,"2021-01-01","2021-01-03",2
85,18,299,"Anny Midden",32,"Non-binary","Lake Amelia","Victoria",1110,"Cropped","Trousers","XS","indigo",55,99.0,115.0,3,345.0,"2021-01-01","2021-01-03",2
86,18,299,"Anny Midden",32,"Non-binary","Lake Amelia","Victoria",452,"Denim","Jacket","M","violet",43,92.0,107.0,1,107.0,"2021-01-01","2021-01-03",2
87,19,513,"Corri Womack",39,"Non-binary","Port Ali","Tasmania",71,"Flannel","Shirt","S","red",59,96.0,118.0,1,118.0,"2021-08-30","2021-09-10",11
88,19,513,"Corri Womack",39,"Non-binary","Port Ali","Tasmania",347,"Mandarin Collar","Shirt","M","violet",76,108.0,109.0,2,218.0,"2021-08-30","2021-09-10",11
89,19,513,"Corri Womack",39,"Non-binary","Port Ali","Tasmania",316,"Mandarin Collar","Shirt","S","red",48,108.0,109.0,2,218.0,"2021-08-30","2021-09-10",11
90,19,513,"Corri Womack",39,"Non-binary","Port Ali","Tasmania",809,"Shearling","Jacket","XL","red",42,95.0,117.0,3,351.0,"2021-08-30","2021-09-10",11
91,19,513,"Corri Womack",39,"Non-binary","Port Ali","Tasmania",682,"Parka","Jacket","M","green",71,119.0,113.0,3,339.0,"2021-08-30","2021-09-10",11
92,20,789,"Bone Perche",36,"Genderqueer","Aliceland","Western Australia",596,"Cardigan","Jacket","S","red",47,118.0,112.0,2,224.0,"2021-01-13","2021-01-20",7
93,20,789,"Bone Perche",36,"Genderqueer","Aliceland","Western Australia",85,"Flannel","Shirt","XS","green",55,96.0,118.0,3,354.0,"2021-01-13","2021-01-20",7
94,20,789,"Bone Perche",36,"Genderqueer","Aliceland","Western Australia",571,"Bomber","Jacket","S","yellow",64,90.0,100.0,1,100.0,"2021-01-13","2021-01-20",7
